iter	Passed	Remaining
0	48	48781
1	49	24574
2	49	16497
3	50	12469
4	50	10040
5	50	8420
6	51	7289
7	51	6436
8	52	5780
9	53	5269
10	53	4844
11	54	4503
12	55	4188
13	55	3913
14	55	3673
15	56	3463
16	56	3277
17	57	3113
18	57	2967
19	57	2836
20	58	2716
21	58	2608
22	61	2601
23	61	2510
24	62	2425
25	62	2346
26	63	2272
27	63	2201
28	63	2136
29	64	2075
30	64	2019
31	65	1968
32	65	1923
33	66	1876
34	66	1831
35	66	1789
36	67	1749
37	67	1711
38	68	1677
39	68	1648
40	69	1616
41	69	1584
42	69	1554
43	70	1525
44	70	1498
45	70	1472
46	71	1446
47	71	1425
48	72	1402
49	72	1379
50	73	1358
51	73	1338
52	73	1319
53	74	1300
54	74	1282
55	75	1265
56	75	1248
57	75	1232
58	76	1216
59	76	1201
60	77	1186
61	77	1172
62	78	1160
63	78	1147
64	78	1134
65	79	1122
66	79	1110
67	80	1098
68	80	1087
69	81	1079
70	81	1071
71	82	1066
72	83	1062
73	84	1058
74	85	1052
75	85	1044
76	86	1034
77	86	1024
78	87	1014
79	87	1004
80	87	995
81	88	986
82	88	975
83	88	970
84	89	967
85	90	962
86	91	955
87	91	947
88	91	940
89	92	932
90	92	925
91	93	918
92	93	910
93	93	903
94	94	896
95	94	890
96	94	883
97	95	876
98	95	870
99	96	864
100	96	858
101	96	853
102	97	847
103	97	841
104	98	835
105	98	830
106	98	824
107	99	819
108	99	814
109	99	808
110	100	805
111	100	800
112	101	795
113	101	790
114	102	785
115	102	781
116	102	776
117	103	772
118	103	768
119	104	764
120	104	760
121	104	755
122	105	751
123	105	746
124	106	742
125	106	738
126	106	734
127	107	730
128	107	727
129	108	723
130	108	719
131	108	715
132	109	712
133	109	708
134	109	704
135	110	700
136	110	697
137	111	695
138	111	693
139	112	691
140	113	689
141	113	686
142	114	684
143	114	681
144	115	678
145	115	675
146	115	671
147	116	668
148	116	665
149	116	662
150	117	660
151	117	656
152	118	655
153	119	654
154	119	653
155	120	651
156	120	648
157	121	645
158	121	642
159	122	640
160	122	637
161	122	634
162	123	631
163	123	629
164	123	626
165	124	623
166	124	621
167	124	618
168	125	615
169	125	613
170	125	610
171	126	608
172	126	605
173	127	603
174	127	601
175	127	599
176	128	596
177	128	594
178	129	592
179	129	589
180	129	587
181	130	585
182	130	583
183	130	580
184	131	579
185	132	578
186	132	576
187	132	574
188	133	572
189	133	570
190	134	567
191	134	565
192	134	563
193	135	561
194	135	559
195	135	557
196	136	555
197	136	553
198	137	551
199	137	549
200	137	548
201	138	546
202	138	544
203	138	542
204	139	540
205	139	538
206	140	536
207	140	534
208	140	533
209	141	531
210	141	530
211	142	529
212	143	529
213	143	528
214	144	527
215	145	526
216	145	524
217	145	522
218	146	520
219	146	519
220	146	517
221	147	515
222	147	514
223	148	512
224	148	512
225	149	511
226	149	510
227	150	509
228	150	507
229	151	506
230	151	504
231	151	502
232	152	501
233	152	499
234	153	498
235	153	496
236	153	495
237	154	493
238	154	492
239	154	490
240	155	489
241	155	487
242	156	486
243	156	485
244	156	483
245	157	482
246	157	480
247	158	479
248	158	477
249	158	476
250	159	474
251	159	473
252	159	472
253	160	470
254	160	469
255	161	469
256	162	468
257	162	467
258	162	465
259	163	464
260	163	463
261	163	461
262	164	460
263	164	459
264	165	458
265	165	456
266	165	455
267	166	454
268	166	452
269	166	451
270	167	450
271	167	448
272	168	447
273	168	447
274	169	446
275	169	445
276	170	443
277	170	442
278	170	441
279	171	440
280	172	440
281	172	440
282	173	439
283	174	439
284	174	438
285	174	436
286	175	435
287	175	434
288	176	433
289	176	432
290	177	431
291	177	430
292	178	430
293	178	429
294	179	428
295	179	427
296	180	426
297	180	425
298	180	424
299	181	423
300	181	422
301	182	420
302	182	419
303	182	418
304	183	417
305	183	416
306	184	415
307	184	414
308	184	413
309	185	412
310	185	411
311	185	409
312	186	408
313	186	407
314	187	406
315	187	405
316	187	404
317	188	403
318	188	402
319	188	401
320	189	400
321	189	399
322	190	398
323	190	397
324	190	396
325	191	395
326	191	394
327	191	393
328	192	392
329	192	391
330	193	390
331	193	389
332	194	388
333	194	387
334	194	386
335	195	385
336	195	384
337	195	383
338	196	382
339	196	381
340	197	380
341	197	379
342	197	378
343	198	377
344	198	376
345	198	375
346	199	374
347	199	373
348	199	372
349	200	371
350	200	371
351	201	370
352	201	369
353	202	368
354	202	368
355	203	368
356	204	367
357	204	367
358	205	366
359	205	365
360	205	364
361	206	363
362	207	363
363	208	363
364	208	363
365	209	362
366	209	361
367	210	361
368	210	360
369	211	359
370	211	358
371	212	358
372	212	357
