iter	Passed	Remaining
0	86	85942
1	86	43227
2	87	28924
3	87	21780
4	87	17488
5	88	14624
6	89	12757
7	90	11233
8	91	10038
9	91	9075
10	92	8280
11	92	7615
12	92	7053
13	94	6621
14	94	6207
15	94	5837
16	95	5512
17	95	5223
18	96	4964
19	96	4732
20	96	4519
21	97	4327
22	97	4152
23	98	3991
24	98	3843
25	98	3706
26	99	3579
27	99	3461
28	100	3352
29	100	3250
30	100	3155
31	101	3066
32	101	2984
33	102	2905
34	102	2830
35	103	2760
36	103	2694
37	103	2631
38	104	2572
39	104	2516
40	105	2464
41	105	2413
42	106	2367
43	106	2321
44	107	2279
45	107	2236
46	108	2195
47	108	2156
48	110	2143
49	111	2112
50	111	2076
51	111	2041
52	112	2007
53	112	1975
54	113	1945
55	113	1914
56	113	1885
57	114	1857
58	114	1830
59	115	1804
60	115	1778
61	115	1754
62	116	1730
63	116	1707
64	117	1685
65	117	1663
66	117	1642
67	118	1622
68	118	1603
69	119	1584
70	119	1566
71	120	1549
72	120	1533
73	121	1518
74	121	1501
75	122	1485
76	122	1472
77	123	1458
78	123	1443
79	124	1429
80	124	1417
81	125	1406
82	125	1389
83	126	1375
84	126	1362
85	126	1349
86	127	1336
87	127	1324
88	128	1311
89	128	1300
90	128	1288
91	129	1277
92	129	1266
93	130	1255
94	130	1244
95	131	1234
96	131	1223
97	131	1213
98	132	1203
99	132	1193
100	132	1183
101	133	1174
102	133	1166
103	134	1157
104	134	1148
105	135	1139
106	135	1131
107	136	1123
108	136	1115
109	136	1107
110	137	1100
111	137	1093
112	138	1085
113	138	1077
114	139	1070
115	139	1062
116	139	1054
117	140	1047
118	140	1040
119	140	1033
120	141	1026
121	141	1018
122	142	1012
123	142	1006
124	142	999
125	143	993
126	143	986
127	143	980
128	144	974
129	144	968
130	145	962
131	145	956
132	145	950
133	146	944
134	146	938
135	146	933
136	147	927
137	147	922
138	147	916
139	148	911
140	148	906
141	148	900
142	149	894
143	149	890
144	150	885
145	150	881
146	151	877
147	151	872
148	151	867
149	152	863
150	152	858
151	153	854
152	153	850
153	154	846
154	154	842
155	154	838
156	155	833
157	155	829
158	156	825
159	156	821
160	156	816
161	157	812
162	157	808
163	157	804
164	158	800
165	158	797
166	159	793
167	159	789
168	159	785
169	160	781
170	160	778
171	160	774
172	161	771
173	161	767
174	162	764
175	162	760
176	162	757
177	163	754
178	163	751
179	164	748
180	164	744
181	165	741
182	165	738
183	165	736
184	166	733
185	166	729
186	167	726
187	167	724
188	168	721
189	168	718
190	169	715
191	169	713
192	169	710
193	170	707
194	170	704
195	171	701
196	171	698
197	171	696
198	172	693
199	172	690
200	173	688
201	173	685
202	173	683
203	174	680
204	174	677
205	175	675
206	175	673
207	176	671
208	176	668
209	177	666
210	177	663
211	177	661
212	178	658
213	178	656
214	179	653
215	179	651
216	179	649
217	180	646
218	180	644
219	181	641
220	181	639
221	181	637
222	182	635
223	182	633
224	183	630
225	183	628
226	183	626
227	184	624
228	184	621
229	185	619
230	185	617
231	185	615
232	186	613
233	186	611
234	187	609
235	187	607
236	188	606
237	188	604
238	189	602
239	189	600
240	190	598
241	190	596
242	190	594
243	191	592
244	191	590
245	192	588
246	192	586
247	192	585
248	193	583
249	193	581
250	194	579
251	194	577
252	195	575
253	195	574
254	195	572
255	196	570
256	196	569
257	197	567
258	197	565
259	198	564
260	198	562
261	199	560
262	199	559
263	199	557
264	200	555
265	200	553
266	201	552
267	201	550
268	202	548
269	202	547
270	203	546
271	203	544
272	203	543
273	204	541
274	204	539
275	205	538
276	205	536
277	205	534
278	206	533
279	206	531
280	207	530
281	207	528
282	208	527
283	208	525
284	208	523
285	209	523
286	210	521
287	210	520
288	211	519
289	211	517
290	211	516
291	212	514
292	212	513
293	213	511
294	213	510
295	214	509
296	214	508
297	215	506
298	215	505
299	216	504
300	216	502
301	216	501
302	217	500
303	217	498
304	218	497
305	218	496
306	219	494
307	219	493
308	219	491
309	220	490
310	220	488
311	221	487
312	221	485
313	221	484
314	222	483
315	222	481
316	222	480
317	223	479
318	223	477
319	224	476
320	224	475
321	225	474
322	225	473
323	226	472
324	226	470
325	227	469
326	227	468
327	228	467
328	228	466
329	228	464
330	229	463
331	229	462
332	230	461
333	230	459
334	230	458
335	231	456
336	231	455
337	232	454
338	232	453
339	233	452
340	233	451
341	233	449
342	234	448
343	234	446
344	234	445
345	235	444
346	235	442
347	235	441
348	235	440
349	236	438
350	236	437
351	237	436
352	237	435
353	238	434
354	238	433
355	239	432
356	239	431
357	239	430
358	240	429
359	240	428
360	241	427
361	241	425
362	242	424
363	242	423
364	242	422
365	243	421
366	243	420
367	244	419
368	244	418
369	245	417
370	245	416
371	246	415
372	246	414
373	247	414
374	247	413
375	248	412
376	248	411
377	249	410
378	249	409
379	250	408
380	250	406
381	250	405
382	251	404
383	251	403
384	252	402
385	252	401
386	252	400
387	253	399
388	253	398
389	254	397
390	254	396
391	254	395
392	255	394
393	255	393
394	256	392
395	256	391
396	257	390
397	257	389
398	257	388
399	258	387
400	258	386
401	259	385
402	259	384
